mango_group_id,meta_group_id
118929,588447323888985
118930,1225491695279351
118931,1003604680845459
118932,683794266600340
118933,693066472569014
118934,3327576334156870
118935,855859935739661
118936,597681658792497
118937,680334146840275
118938,5961593197218391
118939,927969741512288
118940,785900265831538
118941,470044731622027
118942,475179687979778
118943,883971562766228
118944,3361835327382053
118945,465829044982370
118946,578988933803141
118947,737344630839806
118948,1412403309212934
118949,1092471317986828
118950,444173807262481
118951,341853227750658
118952,239493118058165
118953,4597040463713861
118954,2973005242954446
118955,405647357782615
118956,3170810336475591
118957,251904703414647
118958,671087450520603
118959,972066943349971
118960,579208649955210
118961,270565461634046
118962,1045361812923418
118963,1220285855138416
118964,4188813607913301
118965,3076519192593863
118966,3044345382487242
118967,3032934566959686
118968,1343383429410872
118969,1245285202653823
118970,952887398628237
118971,914627555821561
118972,905556720339568
118973,883450445891390
118974,881772592732873
118975,590631238739212
118976,568480764401998
118977,566290881349355
118978,537015447372925
118979,371236531339462
118980,369807448215317
118981,340440071199285
118982,300636434727029
118983,289599869359783
118984,220356160156428
118985,193648072852213
118986,171040701825965
118987,156779166649498
118988,152287970426641
118989,132693762381068
118990,2670655749898255
118991,942124976570122
118992,568097734356556
118993,918451118737434
118994,566030357901986
118995,500380054367287
118996,419163799575496
118997,717456189490594
118998,422599323417581
118999,3280955308887569
119000,1133089240698702
119001,501525465189407
119002,1689101334822009
119003,431671232299688
119004,405522091450195
119005,804988427045390
